timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,algorithm,dataset,language,phase
2024-09-06T15:06:42,codecarbon,5642e0ba-3503-4c9c-8006-9191b3835a6e,0.0014991760253906,4.0654100292258796e-09,2.7117629687058245e-06,42.5,0.0,3.0,1.7037159866756864e-08,0,9.35792922973633e-10,1.7972952789730496e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:06:47,codecarbon,3d4ad140-6f8a-461b-a2e3-7ebb586bc1dd,0.0015349388122558,4.072188646263547e-09,2.652997379275828e-06,42.5,0.0,3.0,1.7118785116407612e-08,0,8.841355641682942e-10,1.8002920680575902e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:06:51,codecarbon,e2572e7e-8e19-4700-bc64-3aedb170f19f,0.0010731220245361,2.815185871389178e-09,2.6233604445925604e-06,42.5,0.0,3.0,1.1866622500949438e-08,0,5.791584650675456e-10,1.2445780966016984e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:06:58,codecarbon,d1db68b9-15f7-4505-8918-111e908018e0,0.0009541511535644,2.5569617582692046e-09,2.6798288182297745e-06,42.5,0.0,3.0,1.0754830307430692e-08,0,5.493561426798502e-10,1.1304186450110545e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:03,codecarbon,c05e37ab-9a11-4618-b755-99955e125e9e,0.0010991096496582,2.9071129066414307e-09,2.6449707793444206e-06,42.5,0.0,3.0,1.2280378076765274e-08,0,5.718072255452472e-10,1.2852185302310522e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:07,codecarbon,88f922ec-efb7-42dd-9342-69c30efe1eb8,0.0005631446838378,1.4849290914005703e-09,2.636851832251388e-06,42.5,0.0,3.0,6.259812249077691e-09,0,3.0497709910074866e-10,6.56478934817844e-09,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:12,codecarbon,2a27c174-fe90-4f7b-95cc-2825a94d7cbb,0.0009891986846923,2.6377284185091655e-09,2.6665304547280468e-06,42.5,0.0,3.0,1.1095404624938964e-08,0,5.658467610677082e-10,1.1661251386006672e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:16,codecarbon,48cca69e-9f30-4bf0-9d14-1f3e04be3fa2,0.0010008811950683,2.6581466616524595e-09,2.655806378169499e-06,42.5,0.0,3.0,1.120236184861925e-08,0,5.49157460530599e-10,1.1751519309149849e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:21,codecarbon,99737395-7f73-45c9-95f4-d5a82c1e5355,0.0008859634399414,2.368216597239176e-09,2.6730409974883387e-06,42.5,0.0,3.0,9.9639097849528e-09,0,5.058447519938151e-10,1.0469754536946614e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:30,codecarbon,d1bb1db8-0328-4be3-a43e-1000fadd64a5,0.0015747547149658,4.403449071169981e-11,2.7962761624533744e-08,42.5,0.0,3.0,1.7647941907246913e-08,0,8.755922317504882e-10,1.8523534138997397e-08,Canada,CAN,quebec,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,-71.2,46.8,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:34,codecarbon,480a9ec2-b898-487a-bab4-ea00f32ed5a0,0.0009827613830566,2.616209118233787e-09,2.662100041107338e-06,42.5,0.0,3.0,1.1013779375288223e-08,0,5.523363749186199e-10,1.1566115750206844e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:38,codecarbon,6d2a3036-48d2-4204-a2fa-f4743f86fd9e,0.0011072158813476,2.968442537917031e-09,2.6809970737630396e-06,42.5,0.0,3.0,1.247740454143948e-08,0,6.459156672159831e-10,1.3123320208655465e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:43,codecarbon,ca97be77-03c6-461a-8540-550536cd5558,0.0009558200836181,2.5321392865975702e-09,2.6491798299659106e-06,42.5,0.0,3.0,1.0647873083750409e-08,0,5.46574592590332e-10,1.1194447676340742e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:47,codecarbon,b4e053b2-7811-4f83-b9c4-6ae0a866f057,0.0015957355499267,4.248065670198865e-09,2.6621363861912117e-06,42.5,0.0,3.0,1.7836524380577938e-08,0,9.43938891092936e-10,1.878046327167087e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
2024-09-06T15:07:55,codecarbon,d3a64bdb-4749-4414-800a-7909f0b9ffd1,0.001255989074707,3.401787166330549e-09,2.708452831983464e-06,42.5,0.0,3.0,1.4259086714850532e-08,0,7.80026117960612e-10,1.5039112832811144e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,breastCancer,java,train
