,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,R,test,0.0124794580042362,2.716466383491125e-08,8.983843294154182e-09,7.197252462427509e-07,5.0,1.7140740399352378e-08
1,R,train,0.0274265001062303,6.050825177226217e-08,2.0011168009619e-08,7.296289330432333e-07,5.0,3.7954397460756205e-08
2,cpp,test,0.0010468330001458,1.3065963212284262e-08,4.321149221640226e-09,4.0581922831340095e-06,42.5,1.1698809854957896e-08
3,cpp,train,0.0027873330109287,3.670535566117097e-08,1.2139121813551142e-08,4.296056326895395e-06,42.5,3.2330493963349405e-08
4,java,test,6.320068250002805,5.927371778708363e-08,1.9602885399108733e-08,3.098900163221551e-09,4.362,4.84888947382084e-10
5,java,train,6.318262250017142,5.9331878590383e-08,1.962212022365429e-08,3.096246098559708e-09,4.346800000000001,7.50057649022589e-10
6,python,test,0.00347793102264395,4.162574807802836e-08,9.415577712257704e-09,2.7053576973267855e-06,42.5,3.926033775011699e-08
7,python,train,0.01623654365539545,2.0350259211328295e-07,4.603147232565615e-08,2.8146368701095263e-06,42.5,1.9031208422448904e-07
