,algorithm,dataset,language,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,GMM,breastCancer,R,61.9095025667455,0.0001375743356765,4.549830914630829e-05,7.349164475312999e-07,5.0,8.598495075252788e-05
1,GMM,breastCancer,matlab,0.0485934734344482,6.131642427709368e-07,1.2133676722310408e-07,2.5710874217965128e-06,42.5,5.728856888082292e-07
2,GMM,breastCancer,python,0.0674698114395141,8.509082529279922e-07,1.9247204317930015e-07,2.851021355074116e-06,42.5,7.9530182811949e-07
3,GMM,iris,R,2.0066399165429174,4.45874309005578e-06,1.4745865972570675e-06,7.348536392668978e-07,5.0,2.7868956943792812e-06
4,GMM,iris,matlab,0.0207489252090453,2.613637778494094e-07,5.9119441094424996e-08,2.8493092795070774e-06,42.5,2.442857954237196e-07
5,GMM,iris,python,0.0328645229339599,4.142813881238302e-07,9.37087928680579e-08,2.850378331059837e-06,42.5,3.871755798657736e-07
6,GMM,wine,R,1.9213749418966473,4.269231303905448e-06,1.4119116383650018e-06,7.348445980449064e-07,5.0,2.668466470398319e-06
7,GMM,wine,matlab,0.0660367488861083,8.338268333011203e-07,1.8860829438538024e-07,2.855881837191439e-06,42.5,7.789829704496596e-07
8,GMM,wine,python,0.2125774145126343,2.685221211777793e-06,5.52704143196028e-07,2.574256320413198e-06,42.5,2.5083802309301168e-06
9,KNN,breastCancer,R,1.8907153415959328,4.2011571924409106e-06,1.3893983043696731e-06,7.348532249901483e-07,5.0,2.6258939354576996e-06
10,KNN,breastCancer,cpp,6.448874541994883,4.994763342253306e-07,1.651858143023329e-07,2.561467326223323e-08,9.9805,2.722500196249288e-07
11,KNN,breastCancer,java,9.864484499994433,1.523473918818058e-05,5.038402474836705e-06,5.107618624003666e-07,10.3563,9.53841000786318e-06
12,KNN,breastCancer,matlab,0.0776772260665893,9.807927707831068e-07,2.0416315214779517e-07,2.5728319157582643e-06,42.5,9.162887434164684e-07
13,KNN,breastCancer,python,0.0247280120849608,3.111238347159492e-07,7.037496691740884e-08,2.84463054237831e-06,42.5,2.908791767226326e-07
14,KNN,iris,R,1.877102766558528,4.17085162034103e-06,1.379375706175945e-06,7.348436907449072e-07,5.0,2.6069765161567677e-06
15,KNN,iris,cpp,6.761339457996655,3.9977320767866977e-07,1.3221219569707433e-07,1.9554142565746583e-08,9.9968,2.246815511088611e-07
16,KNN,iris,java,9.68752645800123,1.501886304368494e-05,4.967008348081396e-06,5.127220420625524e-07,10.3136,9.386687881335151e-06
17,KNN,iris,matlab,0.0393745183944701,4.966464671823714e-07,1.1233944429078369e-07,2.8526535511152994e-06,42.5,4.640955560737186e-07
18,KNN,iris,python,0.0043980360031127,5.4260528749889816e-08,1.2273514561110076e-08,2.788048762403482e-06,42.5,5.085450079705982e-08
19,KNN,wine,R,1.968424566835165,4.373636634257209e-06,1.4464403604082755e-06,7.348202177089006e-07,5.0,2.7337926272432217e-06
20,KNN,wine,cpp,7.80701054201927,6.141312787859365e-06,2.0310426825752736e-06,2.601562623290564e-07,9.743799999999998,3.766736664781905e-06
21,KNN,wine,java,10.407719667011406,1.836672889521769e-05,6.0742078467686046e-06,5.836252359891649e-07,10.3519,1.152177193415966e-05
22,KNN,wine,matlab,0.0471651792526244,5.952588452233209e-07,1.3464516975413432e-07,2.8547482233213208e-06,42.5,5.561426613065932e-07
23,KNN,wine,python,0.0638393402099608,8.059884342882369e-07,9.162710884780069e-08,1.4427585265906783e-06,42.5,7.529780103100671e-07
24,SVC,breastCancer,R,1.8768660500179977,4.1703978173383e-06,1.379225625354488e-06,7.348556516172578e-07,5.0,2.606660914477996e-06
25,SVC,breastCancer,cpp,6.739722625003196,1.4905711977364286e-06,4.929587253729962e-07,7.31422868270877e-08,9.7418,8.957236695391427e-07
26,SVC,breastCancer,java,9.796706833003554,1.515659129131122e-05,5.012557558679864e-06,5.116574012190863e-07,10.2816,9.476877492141446e-06
27,SVC,breastCancer,matlab,0.1080343723297118,1.3641542361842265e-06,9.547650275117773e-08,1.724663028451358e-06,42.5,1.2743770248360106e-06
28,SVC,breastCancer,python,0.0073930501937865,9.217797054184809e-08,2.085028822468387e-08,2.820023399070287e-06,42.5,8.627591861618893e-08
29,SVC,iris,R,1.8746063333470375,4.165305650844756e-06,1.377541554236076e-06,7.348430414074174e-07,5.0,2.6035115393784105e-06
30,SVC,iris,cpp,6.675821332988562,4.996901214999953e-07,1.6525651760223545e-07,2.4754484783111344e-08,10.0712,2.865334507718476e-07
31,SVC,iris,java,9.75333262499771,1.5098539718530266e-05,4.993358858632893e-06,5.119643767541523e-07,10.3475,9.457970813122262e-06
32,SVC,iris,matlab,0.0722268342971801,9.11896569861306e-07,2.0626735651634805e-07,2.8555907791086793e-06,42.5,8.51931456062529e-07
33,SVC,iris,python,0.0032411575317382,3.9665702316496114e-08,8.972223201182154e-09,2.767359832762922e-06,42.5,3.7229839298460226e-08
34,SVC,wine,R,1.8867063665762545,4.1921825415273716e-06,1.3864302257688495e-06,7.34841555370215e-07,5.0,2.620311111030686e-06
35,SVC,wine,cpp,22.349435041018296,0.0001516103517253,5.014027230191426e-05,2.2434693409426667e-06,11.5658,9.972584131621732e-05
36,SVC,wine,java,10.55516716701095,1.8431979564622315e-05,6.095787417652763e-06,5.775168996569279e-07,10.2497,1.1512581788490055e-05
37,SVC,wine,matlab,0.2371006488800048,2.995401998360952e-06,6.312975923509796e-07,2.574899071454788e-06,42.5,2.7981056769688924e-06
38,SVC,wine,python,4.292848014831543,5.4255789230267214e-05,9.794631131519028e-06,2.293058607036982e-06,42.5,5.067868535717329e-05
39,XGBoost,breastCancer,R,2.0926180915441366,4.649744127398461e-06,1.5377540783249642e-06,7.348475072261021e-07,5.0,2.90629783554727e-06
