,dataset,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,breastCancer,test,0.011692432568909502,1.462880121155962e-07,3.2545013228172536e-08,2.8672859572124323e-06,42.5,1.368725671685675e-07
1,breastCancer,train,0.04597100750176603,5.798391115014446e-07,1.3094925813433434e-07,2.9344078393383854e-06,42.5,5.417928817560097e-07
2,iris,test,0.005750957662811303,7.104586049406325e-08,1.56482014474577e-08,2.8234596743574125e-06,42.5,6.660656951081851e-08
3,iris,train,0.02176845426174705,2.7379435370963407e-07,6.063705718358511e-08,2.905798688244446e-06,42.5,2.55945131612852e-07
4,wine,test,0.05465678922723907,6.8956671942526e-07,1.5202692812349332e-07,2.9160623711558243e-06,42.5,6.44286890615517e-07
5,wine,train,0.4839887655427342,6.115996322392308e-06,1.37166930286244e-06,2.94441904844827e-06,42.5,5.712909539176933e-06
