,dataset,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,breastCancer,test,0.001481473445892275,1.757996777693431e-08,4.435893422585192e-09,2.831913630129675e-06,42.5,1.6628329952557887e-08
1,breastCancer,train,0.004905229920950625,6.11958487754944e-08,1.695323687000868e-08,2.856635093156033e-06,42.5,5.726912579449265e-08
2,iris,test,0.0018798842465912,2.2428104239603877e-08,4.966388129955599e-09,2.8334918905579432e-06,42.5,2.1109315160098655e-08
3,iris,train,0.00368788564446725,4.505830533806451e-08,1.1500951017489499e-08,2.8534213451930595e-06,42.5,4.2336062530997274e-08
4,wine,test,0.0045784711837768,5.553224020534094e-08,1.2561170605487295e-08,2.848790899632226e-06,42.5,5.222467912567988e-08
5,wine,train,0.051797986030578544,6.536640557977889e-07,1.4785619476523666e-07,2.858519140254642e-06,42.5,6.107187105549707e-07
