,language,algorithm,Unnamed: 0,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,cpp,KNN,51,0.0164424039665992,2.009658631965505e-07,6.504385512180854e-08,2.2531524819114482e-05,255.0,1.8857999180766088e-07
1,cpp,SVC,195,0.046081404000384296,5.756695742999272e-07,1.8715841381140058e-07,2.3291163516829686e-05,255.0,5.385880858003239e-07
2,cpp,adaBoost,339,0.014118255432670299,1.71221829366796e-07,5.311709326171945e-08,2.276048354131847e-05,255.0,1.6088317545036601e-07
3,cpp,decisionTree,483,0.09882528773317309,1.2425297767359825e-06,3.96856577202045e-07,2.227339487365414e-05,255.0,1.1614291447913444e-06
4,cpp,logisticRegression,627,0.0169968503010744,2.082299426824985e-07,5.656116575552651e-08,2.1175154862075908e-05,255.0,1.953487747657703e-07
5,cpp,naiveBayes,771,0.0094417793337919,1.1252107859982737e-07,3.519469249821103e-08,2.2412942569932497e-05,255.0,1.0596516068256245e-07
6,cpp,randomForest,915,0.1138110082677782,1.4321144560270756e-06,4.5315025151311913e-07,2.3041582101767197e-05,255.0,1.3384874719987172e-06
7,java,KNN,63,0.0058949073155715,6.960453368999342e-08,1.5220108209903865e-08,1.5666040485408952e-05,255.0,6.618944583115755e-08
8,java,SVC,207,0.0060926516850783995,7.253947191768223e-08,1.534681101114473e-08,1.5322692772790048e-05,255.0,6.88345730304718e-08
9,java,adaBoost,351,0.2622923930486038,3.3106502548412046e-06,7.441884327715021e-07,1.5557681473719283e-05,255.0,3.09345332008821e-06
10,java,decisionTree,495,0.0058038473129267,6.842474253089341e-08,1.467001770989926e-08,1.5457965003700752e-05,255.0,6.509200842292221e-08
11,java,logisticRegression,639,0.3062109629313147,3.865731227177161e-06,8.568494780848131e-07,1.564042921273747e-05,255.0,3.6119393452450085e-06
12,java,naiveBayes,783,0.0057593107223505,6.806732769365665e-08,1.426379767200187e-08,1.5236088683552148e-05,255.0,6.471099676909271e-08
13,java,randomForest,927,0.6364852984746293,8.040117725178048e-06,1.8182327962236277e-06,1.5900471519946433e-05,255.0,7.511087733286399e-06
14,matlab,KNN,75,0.2921707630157468,3.684580226739248e-06,8.33437308967511e-07,1.7109765290326473e-05,255.0,3.4432316819826763e-06
15,matlab,SVC,219,1.094297409057617,1.382229699028863e-05,3.126548290015327e-06,1.7101630546511656e-05,255.0,1.2912714812490677e-05
16,matlab,adaBoost,363,2.1126246452331543,2.6692307392756145e-05,6.037693163011869e-06,1.7118012636713173e-05,255.0,2.493362029393514e-05
17,matlab,decisionTree,507,0.1649534702301022,2.0743278331226773e-06,4.692046585410172e-07,1.7032536666446148e-05,255.0,1.9398522045877245e-06
18,matlab,logisticRegression,651,0.6638157367706295,8.381249970859953e-06,1.8958052184086381e-06,1.7116460753581024e-05,255.0,7.830389009581673e-06
19,matlab,naiveBayes,795,1.1154282093048093,1.4090508653057945e-05,3.1872166952870953e-06,1.713216678262555e-05,255.0,1.3162564072344039e-05
20,matlab,randomForest,939,2.1057143211364746,2.6607824034161037e-05,6.01858336523109e-06,1.714047460827092e-05,255.0,2.4854539500342478e-05
21,python,KNN,87,0.1440575122833249,1.8107214570045474e-06,4.095779506886006e-07,1.6855370932738132e-05,255.0,1.6927753885587059e-06
22,python,SVC,231,1.2760448455810542,1.6118971043162878e-05,3.6460467740792704e-06,1.6780755558830997e-05,255.0,1.5057556165589228e-05
23,python,adaBoost,375,0.5576970577239988,7.042793830235799e-06,1.593051793224017e-06,1.707695069557591e-05,255.0,6.579304734865825e-06
24,python,decisionTree,519,0.0821557044982907,1.028236614333259e-06,2.3258300921572584e-07,1.6650295020019724e-05,255.0,9.620464510387845e-07
25,python,logisticRegression,663,0.0624353885650631,7.76215328110589e-07,1.755768023573028e-07,1.6683368388249067e-05,255.0,7.263633939954971e-07
26,python,naiveBayes,807,0.0264506340026851,3.2084733247756964e-07,7.257438321709633e-08,1.638833420169943e-05,255.0,3.015095988909404e-07
27,python,randomForest,951,0.7537796497344968,9.520368278026581e-06,2.1534692230165007e-06,1.705390327539798e-05,255.0,8.89352411031723e-06
