,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
170,naiveBayes,wine,R,test,0.14567512671152746,1.8403367731306289e-06,4.0227429111725034e-07,2.7633123564132015e-06,42.5,1.7191290855407716e-06
171,naiveBayes,wine,R,train,0.019419066111246705,2.4390601559921553e-07,5.5170565104480146e-08,2.840913486637053e-06,42.5,2.2803120591022353e-07
172,naiveBayes,wine,cpp,test,0.002516139066816877,3.070982613039801e-08,1.015629227819297e-08,4.00153288601543e-06,42.5,2.8826478935739207e-08
173,naiveBayes,wine,cpp,train,0.0018460722670472767,2.2241110535392015e-08,6.903989788019718e-09,3.847577547330647e-06,42.5,2.0916559562751733e-08
174,naiveBayes,wine,java,test,0.0009406963984171033,1.1149251902544942e-08,2.5219161833480556e-09,2.678921034435428e-06,42.5,1.0598147356951679e-08
175,naiveBayes,wine,java,train,0.0010323206583658334,1.2135799284334537e-08,2.481344339604623e-09,2.487643476714032e-06,42.5,1.1541435012110958e-08
176,naiveBayes,wine,matlab,test,0.5610514005025228,7.09026222758823e-06,1.6037889548315474e-06,2.85854083418787e-06,42.5,6.622890366448297e-06
177,naiveBayes,wine,matlab,train,0.06449792385101313,8.143332556441979e-07,1.5173755990359529e-07,2.384877545189599e-06,42.5,7.60764965304622e-07
178,naiveBayes,wine,python,test,0.003408304850260367,4.07216317123837e-08,9.211070206814343e-09,2.7014573402396897e-06,42.5,3.837653332286411e-08
179,naiveBayes,wine,python,train,0.006403382619221964,7.888769772317676e-08,1.784408167419169e-08,2.786546064782263e-06,42.5,7.399441467391122e-08
180,randomForest,breastCancer,R,test,0.009085027376810655,1.1310714152124195e-07,2.5584382983538843e-08,2.8162772399117257e-06,42.5,1.058845553133223e-07
181,randomForest,breastCancer,R,train,0.0807835499445597,1.020174938219565e-06,2.2259301300009773e-07,2.7622519480178944e-06,42.5,9.530342729003342e-07
182,randomForest,breastCancer,cpp,test,0.0008330805002817866,9.307759518277536e-09,3.0782436123657097e-09,3.65956284376053e-06,42.5,8.843885601790035e-09
183,randomForest,breastCancer,cpp,train,0.008873343099912697,1.1130810305074329e-07,3.385916785217292e-08,4.009602262691059e-06,42.5,1.0407956474519208e-07
184,randomForest,breastCancer,java,test,0.0010509014129638267,1.242990846987124e-08,2.5401199967512673e-09,2.49797718246644e-06,42.5,1.1820649659192123e-08
185,randomForest,breastCancer,java,train,0.0010988473892211434,1.2980514102511937e-08,2.7979432066853582e-09,2.5833141530008893e-06,42.5,1.2345678276485868e-08
186,randomForest,breastCancer,matlab,test,0.037587308883666945,4.7393766376707294e-07,1.0720280379345683e-07,2.8518776950493556e-06,42.5,4.4281979401906336e-07
187,randomForest,breastCancer,matlab,train,0.18584936459859208,2.3479942017131385e-06,5.137230339542507e-07,2.7634524180639216e-06,42.5,2.1933413876427546e-06
188,randomForest,breastCancer,python,test,0.007672715187072703,9.495604479754414e-08,2.1478677509025296e-08,2.7998503773503904e-06,42.5,8.897865260088888e-08
189,randomForest,breastCancer,python,train,0.1098386685053507,1.3875474996036955e-06,3.1385769422035756e-07,2.8574412663173336e-06,42.5,1.2961487306488886e-06
190,randomForest,iris,R,test,0.00685835679372147,8.451764230374938e-08,1.9117552618538897e-08,2.787767663986125e-06,42.5,7.925567803559481e-08
191,randomForest,iris,R,train,0.018664717674255312,2.3426463427367037e-07,5.1605786327945406e-08,2.7454456045981876e-06,42.5,2.190367601535939e-07
192,randomForest,iris,cpp,test,0.0006540806004825534,6.9675347250368866e-09,2.304289149194749e-09,3.486304775695871e-06,42.5,6.673975696887486e-09
193,randomForest,iris,cpp,train,0.001144968000032,1.3491396470541346e-08,4.0950858807743106e-09,3.7505482633117697e-06,42.5,1.2719239053964245e-08
194,randomForest,iris,java,test,0.0009485721588134299,1.1219545646950053e-08,2.5378163471575137e-09,2.6756976538540573e-06,42.5,1.0675269144552726e-08
195,randomForest,iris,java,train,0.0009333054224649533,1.105362618411029e-08,2.500286028341011e-09,2.676704515485279e-06,42.5,1.051201864525124e-08
196,randomForest,iris,matlab,test,0.029128098487853957,3.6701642473538724e-07,7.645619105067932e-08,2.6618886954885056e-06,42.5,3.4295693039894106e-07
197,randomForest,iris,matlab,train,0.12529076735178626,1.5826906892988418e-06,3.4613936449999987e-07,2.7630932718024995e-06,42.5,1.4784708287980822e-06
198,randomForest,iris,python,test,0.007032545407613063,8.672670744083547e-08,1.961723431628722e-08,2.7898211660823145e-06,42.5,8.132089067388466e-08
199,randomForest,iris,python,train,0.06763412157694494,8.540993542582901e-07,1.8659766605893146e-07,2.7622328646080263e-06,42.5,7.978745246375049e-07
200,randomForest,wine,R,test,0.049067083994547483,6.190779783107617e-07,1.3484692857014674e-07,2.7596763410303522e-06,42.5,5.784419289341681e-07
201,randomForest,wine,R,train,1.5548442284266153,1.9650585250722037e-05,4.297808525201999e-06,2.7644424781497676e-06,42.5,1.8355085369613437e-05
202,randomForest,wine,cpp,test,0.005010491633341446,6.208873506825008e-08,2.053386228430153e-08,4.096493073345774e-06,42.5,5.8148623957094975e-08
203,randomForest,wine,cpp,train,0.09729504443372809,1.2289509271942263e-06,3.8927960273430984e-07,4.039070882962192e-06,42.5,1.1480221829437883e-06
204,randomForest,wine,java,test,0.0008641640345255033,1.0207845105065242e-08,2.308973731385337e-09,2.6677950348947214e-06,42.5,9.71059004465739e-09
205,randomForest,wine,java,train,0.6315895080566406,7.98222628566954e-06,1.8055476569133071e-06,2.7989829802450465e-06,42.5,7.4560235275162596e-06
206,randomForest,wine,matlab,test,0.07298887570699053,9.216313152401536e-07,1.871505312411729e-07,2.57355053761949e-06,42.5,8.60995986947307e-07
207,randomForest,wine,matlab,train,0.5313624858856201,6.714995130344674e-06,1.518905038503444e-06,2.858509900184932e-06,42.5,6.272399800795097e-06
208,randomForest,wine,python,test,0.03800656795501704,4.792267834698713e-07,1.0839918151375102e-07,2.85210807369626e-06,42.5,4.478143210764285e-07
209,randomForest,wine,python,train,0.6963967641194662,8.800960555120753e-06,1.8583650434133857e-06,2.6700616389130346e-06,42.5,8.220776214643763e-06
