,algorithm,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,KNN,test,0.0066546460002427,8.333740068767132e-08,2.205290102428861e-08,2.8345338416343196e-06,42.5,7.793167152133013e-08
1,KNN,train,0.0020664930343627,2.31982602013482e-08,5.247353664504158e-09,2.7116360838695366e-06,42.5,2.2007856104109026e-08
2,SVC,test,0.00283300876617425,3.320637676450941e-08,8.477083640050336e-09,2.8270966265852564e-06,42.5,3.139757447772556e-08
3,SVC,train,0.0106596946716308,1.326297720273336e-07,2.9710509946942336e-08,2.8512061335324077e-06,42.5,1.2423644463221234e-07
4,adaBoost,test,0.0084797143936157,1.0477362407578364e-07,2.346680444048511e-08,2.834887464811277e-06,42.5,9.823598795466954e-08
5,adaBoost,train,0.02106070518493645,2.6471301913261416e-07,5.8563161564668024e-08,2.8567963376286705e-06,42.5,2.474469443162283e-07
6,decisionTree,test,0.0021766424179077,2.466460069020589e-08,5.579034017721811e-09,2.7527532710326706e-06,42.5,2.344051996866862e-08
7,decisionTree,train,0.0173295736312866,2.1773089965184533e-07,4.902013461682532e-08,2.841364036915436e-06,42.5,2.035508553187053e-07
8,logisticRegression,test,0.00195944309234615,2.209777633349101e-08,4.998428615530332e-09,2.8175197639264464e-06,42.5,2.1026945776409576e-08
9,logisticRegression,train,0.04396152496337885,5.54660740825865e-07,1.22840311547584e-07,2.857810232528756e-06,42.5,5.182401173644596e-07
10,naiveBayes,test,0.0020945072174071997,2.3748957448535497e-08,5.322311686608527e-09,2.8333666754605307e-06,42.5,2.25778255197737e-08
11,naiveBayes,train,0.0041614770889282,5.02220458454556e-08,1.1073792223731678e-08,2.832381106317934e-06,42.5,4.729198084937202e-08
12,randomForest,test,0.0074485540390014,9.155993660291036e-08,2.0710491419831916e-08,2.849981879478513e-06,42.5,8.59049459298452e-08
13,randomForest,train,0.091355749998911,1.1538968317331135e-06,3.142377394443751e-07,2.8577420546153627e-06,42.5,1.0779143663158822e-06
