timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,algorithm,dataset,language
<<<<<<< Updated upstream
2024-08-24T14:51:39,codecarbon,2a63671f-26af-4d3e-8c0b-0029160396a4,6.604145375007647,3.968918690269342e-07,6.0097385276967e-08,9.7732,0.1532,6.0,6.539017364004054e-07,1.452323587823323e-07,4.009574300046855e-07,1.2000915251874232e-06,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,logreg,breast_cancer,cpp
2024-08-24T14:51:47,codecarbon,54e56417-e612-4076-a84d-9bd03f73e672,6.509248083006241,3.064034634846092e-07,4.707202115779543e-08,9.2048,0.1366,6.0,4.843826767414057e-07,1.2699645557692085e-07,3.151004166769175e-07,9.26479548995244e-07,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,xgboost,breast_cancer,cpp
2024-08-24T14:51:55,codecarbon,0fdc7a31-d62b-4563-93c4-2062b3a34450,6.426795708001009,1.8165128713899138e-07,2.8264674247050593e-08,8.9967,0.1619999999999999,6.0,2.421333727146557e-07,1.46088412515528e-07,1.6104159668126768e-07,5.492633819114514e-07,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,decision_tree,breast_cancer,cpp
2024-08-24T14:52:02,codecarbon,099ed63e-d442-4c5d-a938-eb0d554d2881,6.485370125010377,2.614361565601818e-07,4.0311678673815636e-08,8.763200000000003,0.1478,6.0,3.884230587220002e-07,1.3670775882628694e-07,2.6538000000679554e-07,7.905108175550827e-07,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,random_forest,breast_cancer,cpp
2024-08-24T14:52:12,codecarbon,78f43454-96d4-4255-9aa8-9bbd06d1d1e1,6.466170791987679,1.9543861940028474e-07,3.0224784603966134e-08,10.7384,0.0396,6.0,3.558368932108343e-07,3.6755369749982495e-08,1.9836020832978346e-07,5.909524712906002e-07,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,knn,breast_cancer,cpp
2024-08-24T14:52:21,codecarbon,3022b6bf-e5a0-4af7-b495-97466d7e9f21,6.543353957997169,4.342393663957339e-07,6.636342297592115e-08,8.2809,0.0047,6.0,7.590264314184825e-07,4.490568108356658e-09,5.495030550082448e-07,1.313020054535084e-06,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,svc,breast_cancer,cpp
2024-08-24T14:52:29,codecarbon,7e23c344-cb14-4783-ad0e-fcd7369dbc8c,7.0134205000067595,1.063479894646679e-06,1.5163498248046785e-07,8.461200000000002,0.0018,6.0,1.8805925779968389e-06,1.95127974999923e-09,1.3331259716748416e-06,3.2156698294216794e-06,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,logreg,wine_quality,cpp
2024-08-24T14:52:36,codecarbon,adb19ee0-6ff6-404e-9566-bb783648f191,6.416137250009342,2.576497457052019e-07,4.0156520296511235e-08,8.650799999999998,0.0028,6.0,4.587872673316887e-07,2.567128309669593e-09,3.1770736000908073e-07,7.79061755650439e-07,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,xgboost,wine_quality,cpp
2024-08-24T14:52:47,codecarbon,854b3f07-ced0-4fc4-aa70-d3477a995e0e,6.487839833993348,3.525251977164675e-07,5.4336297864413186e-08,8.6983,0.0018,6.0,6.301052554948509e-07,1.681124666996766e-09,4.341525699904499e-07,1.0659389501522977e-06,Italy,ITA,lombardy,,,macOS-14.5-arm64-arm-64bit,3.12.5,2.6.0,8,Apple M1 Pro,1,Apple M1 Pro,9.1922,45.4722,16.0,machine,N,1.0,decision_tree,wine_quality,cpp
