,algorithm,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,KNN,test,0.022520743494482662,2.834879005203414e-07,6.551448417142338e-08,3.0514543577372455e-06,42.5,2.6497301761055417e-07
1,KNN,train,0.015693055387287585,1.9700143953218687e-07,4.475878441089528e-08,2.9621041028950917e-06,42.5,1.8425835807112926e-07
2,SVC,test,0.026376091280103976,3.3195381084378633e-07,7.550195249848176e-08,2.948102182149909e-06,42.5,3.1032926054215187e-07
3,SVC,train,0.1755002679135739,2.21716927912864e-06,5.057564049112801e-07,3.0932513507636235e-06,42.5,2.0711452092004067e-06
4,adaBoost,test,0.029005431468602943,3.653346566074328e-07,8.284895066917553e-08,2.9871755407538697e-06,42.5,3.414366826053962e-07
5,adaBoost,train,0.21655559781793268,2.73607978565923e-06,6.194885895199167e-07,3.0555851548567e-06,42.5,2.555835111089565e-06
6,decisionTree,test,0.004800842540943298,5.9327855755699565e-08,1.3583112880918809e-08,2.9201692069478687e-06,42.5,5.5622965476182805e-08
7,decisionTree,train,0.024510683273597803,3.0846539147120143e-07,7.919307567480514e-08,3.0310134233705277e-06,42.5,2.8841201859388184e-07
8,logisticRegression,test,0.011279605819628202,1.412738843838609e-07,3.205221806856285e-08,2.886647410053462e-06,42.5,1.3219572000805107e-07
9,logisticRegression,train,0.07617530572771199,9.613449880186558e-07,2.1668050398196053e-07,2.99797035800016e-06,42.5,8.981409902909446e-07
10,naiveBayes,test,0.05161430269445185,6.509810851128893e-07,1.4768040716000696e-07,2.9685038889521406e-06,42.5,6.082697456404936e-07
11,naiveBayes,train,0.04480902508585127,5.650142808728608e-07,1.2809039022952678e-07,2.9622904641986615e-06,42.5,5.279594067500593e-07
12,randomForest,test,0.02195485626697413,2.7638286253783114e-07,6.317663876562422e-08,3.010971844114163e-06,42.5,2.583293240467002e-07
13,randomForest,train,0.27886100020080745,3.5236525119115638e-06,8.071096642330706e-07,3.083730781334381e-06,42.5,3.2914739106153683e-06
