,algorithm,Unnamed: 0,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,KNN,1,testtrain,0.0249868251068334,3.1279694890943936e-07,6.841668423365481e-08,5.752668157256039e-06,85.0,2.926418352138194e-07
1,SVC,5,testtrain,0.3397786667684622,4.2918145125886196e-06,9.500698723158811e-07,5.821358674022307e-06,85.0,4.009236456959846e-06
2,adaBoost,9,testtrain,0.1034186022318882,1.304728269298938e-06,2.9414836775374765e-07,5.88525414944978e-06,85.0,1.2190594990611095e-06
3,decisionTree,13,testtrain,0.031378084812806295,3.935765104779118e-07,9.25156725327396e-08,5.711868153186823e-06,85.0,3.6807699645495877e-07
4,logisticRegression,17,testtrain,0.5917769605404302,7.476722497425462e-06,1.6879698631570918e-06,5.7228045987122535e-06,85.0,6.9841572001272774e-06
5,naiveBayes,21,testtrain,0.0723679726838032,9.118826713659148e-07,2.0293420252476198e-07,5.767271097633014e-06,85.0,8.52178909603408e-07
6,randomForest,25,testtrain,0.2918925036412594,3.687049475756427e-06,8.187221131009169e-07,5.918786853505583e-06,85.0,3.444280788874545e-06
