,algorithm,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,KNN,test,0.0074182281896355,9.251573400345277e-08,2.5281984865983393e-08,2.851129900554744e-06,42.5,8.656461496217265e-08
1,KNN,train,0.0019258260726928498,2.306847936577267e-08,5.209786643783251e-09,2.830008633115568e-06,42.5,2.176368402110206e-08
2,SVC,test,0.0029254365672385747,3.542482426243826e-08,9.324425830618264e-09,2.839054541758866e-06,42.5,3.331855999262089e-08
3,SVC,train,0.0053133964538574,6.557136774063111e-08,1.4831981097459794e-08,2.8569237575465436e-06,42.5,6.150603294372559e-08
4,adaBoost,test,0.00347077846527095,4.30617564254337e-08,9.730661689009932e-09,2.8410025775868108e-06,42.5,4.03988692495558e-08
5,adaBoost,train,0.0622066259384155,7.849393950568306e-07,1.7755015140427487e-07,2.8584343854515305e-06,42.5,7.333747214741177e-07
6,decisionTree,test,0.0014892220497130751,1.7709740334086948e-08,3.980078101489279e-09,2.798707216211222e-06,42.5,1.6732472512457112e-08
7,decisionTree,train,0.01224221742268125,1.5379993129663997e-07,4.1437667908620686e-08,2.847372199730265e-06,42.5,1.4376882183960842e-07
8,logisticRegression,test,0.0018111467361449749,2.1535058816274007e-08,4.8711441640059155e-09,2.8265551643644297e-06,42.5,2.0324687163035076e-08
9,logisticRegression,train,0.01322257518768305,1.643005344602797e-07,3.716412369277743e-08,2.8545796050315e-06,42.5,1.5367501311832007e-07
10,naiveBayes,test,0.002032466290984225,2.439323733167638e-08,6.311306182618347e-09,2.8031678591015653e-06,42.5,2.2942745373357972e-08
11,naiveBayes,train,0.002282848038703325,2.6983647170482075e-08,6.70347697672291e-09,2.824893743438392e-06,42.5,2.5356184503759023e-08
12,randomForest,test,0.00539913919783425,6.705000115264031e-08,1.6965947992037802e-08,2.852011333804343e-06,42.5,6.277789700688018e-08
13,randomForest,train,0.09439084382574939,1.1921900758786962e-06,3.2989787234803146e-07,2.8585541242546144e-06,42.5,1.113691824603949e-06
